Year,Activity,Energy,Value,Unit
2020,Transport Routier,Gaz Naturel,11226.2,kg
2020,Transport Routier,Produits pétroliers,1587761.5,kg
2021,Agriculture,Aucune énergie,244.7,kg
2021,Agriculture,Gaz Naturel,2335.7,kg
2021,Agriculture,Produits pétroliers,191.3,kg
2021,Biogénique,Aucune énergie,1758.8,kg
2021,Ferroviaire,Produits pétroliers,23009,kg
2021,Incendies de foret,Aucune énergie,1327.9,kg
2021,Industrie,Aucune énergie,23164.3,kg
2021,Industrie,Autres énergies renouvelables (EnR),15138.2,kg
2021,Industrie,Bois-énergie (EnR),27978.7,kg
2021,Industrie,Gaz Naturel,219520,kg
2021,Industrie,Produits pétroliers,180337.6,kg
2021,Maritime - quai/rade/manoeuvre domestique,Produits pétroliers,1165471.7,kg
2021,Maritime - quai/rade/manoeuvre international,Produits pétroliers,1934603.1,kg
2021,Production d'énergie,Bois-énergie (EnR),8617,kg
2021,Production d'énergie,Gaz Naturel,7559.2,kg
2021,Résidentiel,Aucune énergie,1637.1,kg
2021,Résidentiel,Autres énergies renouvelables (EnR),12392.1,kg
2021,Résidentiel,Bois-énergie (EnR),36943.3,kg
2021,Résidentiel,Gaz Naturel,112099.3,kg
2021,Résidentiel,Produits pétroliers,33678,kg
2021,Tertiaire,Aucune énergie,1623.9,kg
2021,Tertiaire,Bois-énergie (EnR),1326.1,kg
2021,Tertiaire,Gaz Naturel,196025.3,kg
2021,Tertiaire,Produits pétroliers,39254.9,kg
2021,Transport Routier,Gaz Naturel,14751.2,kg
2021,Transport Routier,Produits pétroliers,1679772.9,kg
